date,season,neutral,playoff,team1,team2,elo1,elo2,score1,score2,elo_prob1,result1
1924-11-27,1924,0,0,ARI,CHI,1528.148,1617.481,0,21,0.5204950995348325,0.0
1924-11-27,1924,0,0,KCB,GB,1314.765,1587.417,6,17,0.2697758182109436,0.0
1924-11-27,1924,0,0,FYJ,DAY,1575.611,1394.004,32,7,0.7915277265453882,1.0
1924-11-29,1924,0,0,FYJ,BFF,1587.021,1449.226,45,7,0.7637588002923212,1.0
1924-11-30,1924,0,0,CHI,MIL,1645.916,1473.859,31,14,0.7501800447298744,1.0
1924-11-30,1924,0,0,RAC,GB,1510.229,1597.966,7,0,0.5118016978043876,1.0
1925-09-20,1925,0,0,GB,HAM,1552.054,1459.679,14,0,0.6684275082991665,1.0
1925-09-20,1925,0,0,RII,CHI,1507.537,1606.023,0,0,0.49616896030887003,0.5
1925-09-26,1925,0,0,FYJ,BFF,1570.295,1457.203,27,7,0.7330462642801436,1.0
1925-09-27,1925,0,0,DPN,COL,1300,1493.847,7,0,0.30018283826321035,1.0
1925-09-27,1925,0,0,GB,CHI,1566.603,1604.558,14,10,0.5632547356312658,1.0
1925-09-27,1925,0,0,PTB,BFF,1478.004,1442.33,28,0,0.6428982879755095,1.0
1925-09-27,1925,0,0,ARI,HAM,1501.476,1445.13,6,10,0.6251767700886548,0.0
1925-09-27,1925,0,0,AKR,CIB,1437.337,1535.511,7,0,0.4711837787623129,1.0
1925-09-27,1925,0,0,CBD,RCH,1502.032,1366.468,14,7,0.7317740315197349,1.0
1925-09-27,1925,0,0,DUL,KCB,1502.215,1371.143,0,3,0.7220944185866626,0.0
1925-09-27,1925,0,0,RII,DAY,1509.002,1423.396,0,0,0.6704590241582429,0.5
1925-10-03,1925,0,0,FYJ,PRV,1585.167,1499.667,7,0,0.6901697196502541,1.0
1925-10-04,1925,0,0,CIB,COL,1512.388,1463.924,3,0,0.6213485981664446,1.0
1925-10-04,1925,0,0,RII,GB,1502.777,1581.267,3,0,0.4884810824944532,1.0
1925-10-04,1925,0,0,AKR,KCB,1460.459,1394.143,14,7,0.6923783958516238,1.0
1925-10-04,1925,0,0,DPN,CHI,1329.923,1589.894,0,0,0.299479901229185,0.5
1925-10-04,1925,0,0,BFF,RCH,1419.208,1357.334,0,0,0.6308634140931154,0.5
1925-10-04,1925,0,0,PTB,PRV,1501.126,1488.145,0,6,0.6004508083323497,0.0
1925-10-04,1925,0,0,ARI,MIL,1478.723,1477.16,34,0,0.5890235771859613,1.0
1925-10-04,1925,0,0,CBD,DAY,1511.166,1429.621,14,0,0.6919623540859136,1.0
1925-10-10,1925,0,0,FYJ,CBD,1596.69,1526.44,12,7,0.6698910950397785,1.0
1925-10-11,1925,0,0,BFF,AKR,1413.875,1473,0,0,0.47612156098872543,0.5
1925-10-11,1925,0,0,CIB,KCB,1521.413,1381.602,16,13,0.7558635677416873,1.0
1925-10-11,1925,0,0,DUL,RII,1479.216,1517.267,0,12,0.5130891906144687,0.0
1925-10-11,1925,0,0,PRV,NYG,1512.773,1300,14,0,0.8248059036888341,1.0
1925-10-11,1925,0,0,GB,MIL,1566.777,1449.183,31,0,0.7358748467228408,1.0
